"height","weight","age","ball_control","dribbling","slide_tackle","stand_tackle","aggression","reactions","att_position","interceptions","vision","composure","crossing","short_pass","long_pass","acceleration","stamina","strength","balance","sprint_speed","agility","jumping","heading","shot_power","finishing","long_shots","curve","fk_acc","penalties","volleys","gk_positioning","gk_diving","gk_handling","gk_kicking","gk_reflexes"
188,70,30,63,57,62,63,75,65,60,63,61,64,57,66,64,61,78,75,64,63,62,71,65,74,60,68,61,67,51,42,8,11,12,12,10
176,79,23,74,69,23,22,29,58,62,15,62,63,63,63,52,83,59,68,69,82,73,72,54,66,64,64,63,60,56,50,7,14,9,13,8
185,75,32,14,15,15,21,34,63,18,19,66,69,12,24,23,55,35,61,62,52,69,72,12,51,13,12,14,12,16,17,68,67,67,68,70
184,82,24,42,33,49,50,51,44,26,49,36,38,26,44,31,63,60,70,56,62,47,67,50,43,24,18,31,28,38,23,12,8,14,5,15
175,70,27,68,72,33,35,69,70,71,37,60,69,57,66,46,92,81,76,80,91,90,93,74,76,73,66,59,53,64,73,14,15,13,13,12
184,82,37,78,63,83,82,90,85,69,84,71,86,63,78,80,66,56,81,65,55,66,91,88,79,65,64,72,75,90,69,7,11,8,9,11
181,76,24,60,60,63,67,72,61,55,65,52,61,32,62,52,77,74,83,81,69,67,91,58,41,19,17,20,24,36,29,13,14,6,5,10
182,81,31,74,70,74,70,76,78,70,69,72,74,80,73,68,77,82,76,67,72,66,81,76,64,34,41,57,52,54,57,13,10,11,14,7
188,77,38,71,69,26,29,82,75,79,33,69,79,64,70,58,73,55,81,42,73,67,67,72,88,79,77,73,80,84,75,8,14,15,11,12
181,73,21,58,38,51,55,47,37,23,53,54,40,32,55,48,73,58,56,53,70,67,66,41,54,36,33,30,31,27,53,5,12,8,14,12
192,79,22,38,28,67,68,67,58,36,61,35,55,36,51,42,57,56,71,50,53,54,66,63,49,29,26,36,31,49,33,11,11,7,5,12
183,78,25,68,70,29,28,37,55,58,19,50,54,52,55,54,84,54,65,58,88,81,41,62,70,53,52,53,47,54,51,7,6,10,14,13
192,85,31,58,38,68,71,76,62,23,64,51,61,51,60,59,34,75,90,45,38,58,53,73,34,41,54,27,29,36,24,15,11,8,8,7
175,67,30,71,70,15,15,45,62,71,20,59,72,61,64,52,79,64,42,74,75,80,67,61,73,69,72,75,62,66,70,15,11,16,12,16
172,63,23,64,57,67,65,45,57,48,53,33,48,64,65,54,67,63,37,83,68,55,59,62,53,28,49,66,34,32,27,12,9,13,13,10
191,82,25,22,14,14,12,19,68,11,12,35,33,13,22,28,31,34,60,32,32,35,58,13,51,10,8,12,10,10,9,67,70,66,68,72
193,89,25,71,69,34,43,71,71,74,42,55,64,43,55,42,69,77,85,59,78,67,71,72,72,74,66,54,46,65,63,11,6,11,9,11
176,68,21,58,51,51,49,49,53,45,46,43,52,49,49,35,77,58,50,78,74,69,58,38,35,34,30,44,35,35,26,13,11,12,5,14
187,76,21,53,54,12,14,57,56,58,16,46,56,32,43,32,72,52,63,54,70,63,58,57,53,59,53,38,33,58,39,9,9,5,9,10
181,74,30,59,48,68,72,68,67,21,66,37,60,24,65,62,55,65,79,51,54,38,77,72,39,23,19,40,27,40,27,12,15,10,6,7
190,75,19,63,61,20,20,49,59,60,20,59,60,43,58,50,67,61,67,65,73,69,72,55,67,61,59,54,42,58,57,12,13,14,6,11
187,76,27,58,60,26,34,45,56,57,20,55,54,44,55,41,79,66,82,74,82,69,72,60,58,60,56,51,42,63,53,14,13,9,10,10
191,81,25,61,58,63,64,66,61,58,63,57,60,54,62,59,66,70,75,41,75,64,56,58,56,43,49,41,36,45,34,8,13,12,5,11
181,70,21,72,69,24,22,26,50,64,23,70,50,54,70,66,65,61,51,64,64,62,61,50,57,65,65,56,52,55,45,8,12,6,11,8
173,64,25,65,66,20,23,46,55,60,27,55,57,57,59,47,86,71,49,85,88,87,58,35,62,61,54,62,37,50,60,12,12,14,10,6
178,71,19,62,60,59,62,67,60,62,62,65,51,42,64,63,65,50,34,69,62,71,57,41,60,55,62,56,52,35,44,10,9,10,9,13
178,75,31,78,75,66,67,60,75,71,73,77,81,65,80,77,73,74,63,70,70,77,70,45,71,65,69,74,69,59,65,11,9,14,6,6
177,67,35,72,70,44,51,57,59,67,60,74,69,65,74,67,66,71,60,68,66,74,53,57,65,64,71,71,70,66,62,7,8,13,13,11
173,64,32,63,59,61,64,70,62,58,63,61,63,52,63,62,52,71,65,81,49,75,54,55,60,55,61,49,44,41,57,16,10,11,11,9
180,72,29,44,42,67,71,61,62,43,65,42,61,41,66,63,70,70,64,70,75,65,70,73,55,32,32,35,38,38,32,15,15,8,10,14
173,65,24,65,66,60,65,60,64,52,64,67,63,62,65,63,68,58,38,85,73,77,57,59,63,52,64,68,60,49,62,6,8,12,7,8
188,89,22,63,58,17,11,29,52,59,18,49,56,39,51,27,79,59,70,69,80,66,57,59,52,60,47,35,32,51,44,11,9,11,8,7
189,67,21,10,14,12,11,26,49,7,12,36,22,13,18,23,15,17,48,39,29,26,54,10,39,7,6,10,12,13,6,59,58,56,52,60
176,70,28,66,67,54,69,72,63,62,59,72,64,50,72,70,71,79,65,78,58,71,59,52,57,60,68,58,52,50,49,9,14,11,14,9
172,63,25,67,65,40,50,37,77,72,52,76,68,67,71,69,77,58,38,90,66,86,37,37,62,64,62,76,73,58,56,5,9,10,14,14
184,80,28,74,75,27,26,43,64,67,44,61,65,62,64,62,75,62,71,58,77,67,68,54,72,72,68,57,45,56,62,9,15,8,7,12
175,61,31,59,52,58,57,48,58,57,57,53,55,58,57,56,64,57,62,67,67,71,72,55,60,52,47,49,57,58,43,12,16,8,9,15
175,76,29,60,63,31,30,51,60,61,51,61,64,61,58,52,75,73,69,65,75,73,56,57,67,62,56,54,56,52,51,6,9,7,9,11
181,71,20,64,66,59,63,62,63,62,60,59,60,65,61,55,78,81,56,66,78,66,55,50,50,50,48,50,27,33,32,5,15,9,10,10
179,70,29,63,62,70,69,80,65,54,60,49,56,51,60,68,74,75,76,73,72,68,82,59,53,37,39,47,45,60,35,14,12,15,14,15
177,72,27,73,45,72,60,79,60,52,53,47,59,70,65,62,64,63,58,71,66,52,64,61,61,51,60,48,62,65,48,17,16,11,11,13
185,77,23,62,46,64,67,60,62,25,63,34,55,32,61,50,52,64,74,52,54,55,75,63,37,28,20,35,28,35,29,13,5,6,8,11
188,85,32,55,41,62,64,69,60,36,64,44,62,27,62,57,49,77,84,43,69,36,81,75,42,29,27,30,27,43,26,14,13,13,13,11
178,78,19,62,67,47,45,45,65,62,35,61,57,57,61,60,74,61,69,70,73,71,63,53,60,61,46,57,43,62,53,14,10,10,14,7
188,80,24,58,54,67,69,70,63,46,63,47,55,39,62,55,67,70,77,56,74,58,76,67,70,40,62,58,55,53,42,6,6,8,7,8
179,67,19,63,61,57,58,55,57,58,56,56,61,45,65,58,65,53,45,70,63,72,56,38,54,42,39,51,45,42,44,12,11,14,7,5
180,72,28,63,63,58,59,70,63,70,53,64,66,69,67,67,73,70,66,77,76,74,63,57,67,65,59,53,50,64,45,9,7,10,15,13
171,79,28,65,54,63,73,79,69,28,70,54,60,39,73,65,52,85,76,85,54,65,76,63,64,30,22,49,24,43,20,7,15,10,10,9
193,93,32,16,11,11,13,25,67,14,24,22,51,13,28,23,37,31,72,25,39,32,57,11,45,10,14,19,13,20,13,65,67,66,60,72
177,75,32,69,65,60,63,65,62,53,62,59,64,66,70,63,83,89,78,77,77,86,53,44,36,29,30,46,33,43,30,6,7,14,11,6
180,75,21,71,69,26,37,34,50,55,19,54,57,61,63,58,60,58,50,70,62,56,38,45,70,67,45,55,41,65,56,7,15,10,9,7
181,70,25,76,78,55,59,58,68,70,43,72,62,67,74,68,83,79,49,82,83,85,66,54,69,68,65,68,50,61,58,12,6,7,12,6
184,75,24,72,75,67,67,65,68,64,66,56,66,68,68,49,86,77,66,67,84,72,49,56,65,64,44,54,30,55,41,7,15,8,10,11
180,68,28,57,60,58,60,59,57,53,61,52,50,60,57,53,72,76,67,77,73,75,70,52,49,33,38,46,37,44,30,11,15,9,9,10
175,68,25,58,64,53,57,52,50,45,52,55,52,60,61,53,82,80,66,80,84,79,67,44,38,28,34,42,39,44,45,11,11,9,5,14
185,88,31,56,48,61,65,68,61,35,61,53,63,53,59,59,63,49,82,61,66,57,81,65,58,32,41,29,35,31,33,10,7,12,10,6
175,68,33,72,75,55,58,53,65,70,56,59,62,68,75,62,83,65,37,78,83,78,74,50,70,73,56,66,55,64,59,12,7,11,6,12
188,72,27,57,42,68,71,72,68,41,69,35,58,51,64,61,65,71,76,59,68,61,71,70,52,29,31,41,24,36,22,8,8,5,11,11
173,73,31,76,72,67,72,86,77,70,75,79,75,68,81,78,59,78,69,83,55,69,64,53,77,60,69,71,55,54,56,15,7,11,11,15
190,85,25,50,46,67,68,66,67,38,66,36,67,33,60,45,63,73,85,48,65,45,77,73,54,27,29,26,28,43,31,8,9,9,9,11
186,75,24,10,11,12,14,23,46,7,13,23,35,11,24,19,32,25,52,55,30,38,54,10,38,8,8,13,10,12,8,51,60,62,51,61
176,83,30,68,71,69,71,81,69,70,67,68,67,64,68,67,75,76,81,77,77,76,81,63,68,52,63,71,63,55,59,10,6,8,14,15
177,78,24,64,67,23,29,61,56,58,24,55,63,55,53,36,83,71,68,85,83,87,57,50,61,57,58,53,47,56,58,12,13,12,14,8
186,72,20,39,31,58,64,62,52,27,56,32,49,25,34,33,51,54,64,53,62,40,68,59,36,21,24,31,27,33,26,13,7,10,13,9
179,78,24,74,76,33,27,47,72,74,41,83,67,68,73,70,83,80,59,83,83,81,48,59,81,76,76,80,72,72,72,13,7,15,5,10
176,70,23,53,57,47,42,57,48,63,42,46,42,48,58,51,64,56,54,73,57,61,65,48,46,43,42,37,35,39,35,9,5,6,7,6
184,79,34,65,66,64,68,62,69,69,68,69,69,59,70,65,55,54,61,60,50,63,60,69,69,61,66,64,59,60,67,10,8,6,7,6
192,90,37,67,61,13,16,57,60,70,34,43,69,42,55,40,43,46,87,59,33,37,78,76,72,65,60,50,43,66,61,15,9,16,8,15
185,84,28,52,49,60,62,64,55,33,59,45,48,38,54,50,58,65,74,64,58,57,80,64,41,30,32,39,34,42,30,11,11,10,15,16
183,78,19,33,28,56,55,51,49,29,53,30,38,27,41,33,55,64,71,62,60,41,74,51,37,23,26,29,33,36,30,12,7,9,15,15
180,78,25,62,63,57,62,42,68,60,59,60,65,70,65,57,81,80,75,81,77,80,71,47,73,59,64,68,52,45,65,14,7,9,9,9
175,72,33,75,75,23,28,51,74,77,38,72,75,68,69,63,74,69,75,76,75,73,81,70,87,74,79,65,70,71,69,16,6,6,15,7
186,80,20,61,59,16,14,39,59,66,21,56,59,40,57,43,61,55,66,55,55,53,60,59,65,68,57,53,58,65,56,11,7,12,14,5
175,76,21,62,60,53,58,55,48,52,54,58,57,51,61,57,71,58,53,73,66,73,69,41,54,53,56,48,51,52,46,10,7,5,13,14
183,81,31,61,56,22,23,63,63,66,23,57,56,48,58,41,67,74,69,63,72,73,71,59,62,61,46,48,49,64,55,13,9,10,15,10
178,70,24,75,76,38,42,53,66,66,45,74,72,71,72,66,76,63,47,69,75,77,54,47,63,68,60,66,65,70,63,6,13,6,11,6
185,76,21,63,60,38,30,39,56,51,27,52,59,36,52,51,68,66,49,64,71,78,49,38,59,54,42,47,56,39,39,5,9,6,12,15
181,76,30,60,58,73,74,77,69,54,71,58,55,62,69,60,77,90,77,66,77,72,70,70,52,27,25,38,34,44,59,7,8,9,11,11
185,76,25,69,66,56,62,59,66,58,62,69,60,56,69,65,73,80,63,75,60,74,52,55,62,53,59,60,40,39,49,7,15,6,6,11
186,76,28,32,13,15,19,23,61,16,12,58,42,18,26,46,45,41,56,55,46,43,59,17,56,14,15,17,14,22,13,71,71,71,74,71
179,77,35,76,76,60,49,45,72,68,60,75,64,84,71,68,77,80,57,77,75,80,62,51,66,67,59,67,65,62,62,13,8,14,13,14
177,68,22,65,61,64,62,63,59,42,65,66,64,57,66,71,74,83,65,65,67,62,68,55,49,37,38,65,42,60,31,5,13,11,8,8
185,84,27,62,63,26,48,59,66,61,19,63,61,43,61,54,70,67,73,67,62,71,73,64,67,66,61,58,50,62,63,7,14,13,12,8
174,68,28,59,60,65,62,70,56,48,55,48,62,63,65,61,85,83,73,71,84,76,56,58,67,48,62,59,62,51,56,7,8,11,9,12
172,72,24,65,66,40,37,37,61,64,28,63,63,57,59,46,76,66,52,78,69,88,41,32,57,55,46,55,48,50,46,14,14,6,7,8
184,84,27,14,11,13,10,19,47,6,8,53,55,10,19,27,21,28,53,47,15,24,63,11,47,8,7,12,10,10,5,61,67,64,62,66
193,80,31,61,60,71,75,74,74,60,77,37,68,38,66,72,84,75,84,56,87,69,90,75,67,40,52,36,32,41,30,10,15,12,10,8
184,78,24,67,65,78,82,57,63,22,75,43,56,66,65,60,68,83,67,58,72,68,70,64,57,37,45,57,44,48,45,10,14,5,12,12
173,65,25,73,78,61,67,79,73,74,64,72,69,62,73,71,84,90,47,87,79,83,81,51,54,59,56,63,52,58,55,14,11,7,11,15
177,75,35,64,63,64,63,63,62,58,67,66,67,69,64,58,80,61,70,75,77,73,85,64,78,58,70,67,46,70,58,15,7,11,13,8
185,76,27,72,75,23,30,43,74,71,22,75,68,66,70,66,89,67,65,66,88,76,45,49,76,72,73,68,54,57,74,13,7,9,14,6
174,69,23,75,77,21,22,57,74,65,22,57,62,61,55,57,73,78,54,83,76,73,75,65,83,76,73,77,74,71,72,18,14,11,10,17
195,86,25,82,80,20,29,68,84,83,25,77,82,53,77,53,80,79,85,53,85,61,73,86,80,83,71,55,55,79,80,13,12,7,8,13
187,80,26,49,36,64,69,68,68,39,65,33,58,42,57,48,62,71,85,33,67,64,81,62,35,24,25,29,27,39,25,6,14,11,6,8
186,75,29,62,56,68,68,74,57,43,66,46,62,57,63,63,70,77,77,72,68,56,80,56,58,32,35,41,37,36,42,9,15,10,12,10
185,80,23,61,50,63,65,56,54,24,58,36,57,47,63,61,64,61,67,62,64,60,66,67,54,28,49,42,36,38,41,6,14,10,10,14
187,81,23,45,42,55,57,53,54,36,50,45,47,42,50,41,66,65,71,44,63,55,58,53,48,35,31,35,32,40,28,13,12,14,6,7
184,81,26,77,73,72,74,71,72,60,73,80,79,65,82,85,55,72,67,65,63,68,57,42,66,59,68,66,52,68,44,10,12,11,11,8
169,67,23,64,66,58,48,47,56,52,29,63,55,49,67,65,77,52,39,82,68,76,56,41,54,49,48,62,57,54,49,9,15,11,14,14
181,72,26,58,50,69,68,78,67,31,65,43,54,58,66,50,58,76,80,47,56,54,83,74,60,35,33,38,35,43,32,5,13,14,10,9
187,80,24,59,59,58,62,63,59,52,61,52,61,42,62,59,65,75,74,62,68,56,72,65,58,53,59,39,36,45,28,7,5,10,10,14
167,63,21,77,82,52,60,69,71,72,52,71,81,70,70,68,87,73,52,90,79,91,57,55,73,65,72,75,67,56,59,10,8,7,12,7
196,88,23,12,8,11,12,28,61,5,10,29,24,13,22,15,18,18,64,24,32,35,34,11,44,5,7,13,14,19,9,63,69,63,58,70
184,85,30,60,53,60,61,65,56,53,57,35,60,53,62,61,52,60,76,59,54,56,74,63,50,35,32,53,50,36,40,15,12,8,11,11
195,81,23,57,56,45,54,61,58,54,54,56,42,36,64,62,65,65,67,65,54,55,64,45,54,48,47,35,37,41,36,6,11,6,9,15
184,81,25,53,56,11,18,42,57,63,23,53,47,42,51,42,71,61,78,67,75,70,82,53,58,59,53,54,45,58,52,10,5,14,6,15
185,82,22,56,55,14,13,26,52,54,14,47,43,25,43,29,63,56,70,61,65,54,63,56,64,60,57,48,53,59,53,7,8,12,14,5
175,74,31,66,66,50,52,63,61,62,49,66,64,64,65,64,69,49,59,80,66,76,75,51,63,62,64,69,67,60,59,15,15,11,15,7
185,80,22,82,84,70,74,71,75,69,67,78,76,70,78,77,75,75,73,76,67,76,70,68,74,71,68,70,50,54,55,9,11,10,11,10
187,69,25,77,69,79,82,79,76,53,79,65,67,70,76,69,71,73,78,71,73,69,73,75,56,43,42,61,47,47,43,14,8,15,7,9
186,79,32,26,30,21,22,43,64,12,31,35,48,13,30,28,44,35,49,38,43,56,67,31,53,19,20,11,23,39,16,67,66,68,70,68
179,72,31,75,53,73,66,58,55,63,57,53,59,70,66,61,60,63,55,60,59,52,62,65,53,38,57,51,47,59,33,12,10,12,13,15
174,68,31,66,71,49,58,46,65,66,58,72,67,66,66,61,83,61,52,81,80,73,69,50,46,58,41,73,74,71,68,9,10,8,7,7
178,74,23,62,63,47,48,50,57,58,30,60,58,62,63,58,73,70,55,72,85,75,71,50,60,56,60,58,64,50,52,7,13,13,9,9
176,78,22,67,70,54,46,32,56,58,52,63,57,59,65,56,73,62,56,70,69,69,44,43,66,66,51,57,59,67,48,10,14,14,11,8
180,77,33,74,71,56,57,67,74,49,63,74,66,70,76,71,68,74,66,63,54,70,67,62,67,60,72,73,75,82,58,11,14,6,9,11
191,87,27,51,44,74,72,49,67,31,55,44,60,57,62,61,56,59,90,61,59,45,62,76,53,52,44,51,55,62,49,9,9,15,7,11
188,80,23,14,15,13,14,18,57,5,7,24,22,15,23,21,16,27,56,33,23,28,51,11,45,6,9,12,15,18,7,56,58,59,60,63
185,74,19,59,57,21,27,35,62,59,28,52,57,37,58,42,73,67,71,69,75,65,61,57,65,62,59,56,54,64,53,9,7,6,9,10
175,67,27,65,67,34,39,33,60,60,30,64,58,60,63,55,78,60,42,80,78,77,46,47,62,57,53,55,48,59,51,10,13,9,7,13
175,67,20,53,52,19,22,52,53,48,15,49,54,29,46,35,64,64,62,64,66,60,48,45,51,53,45,42,38,52,44,10,6,8,7,10
190,84,30,82,78,20,14,69,80,84,26,77,78,72,76,63,81,78,81,62,84,74,86,85,80,84,74,78,50,75,79,4,4,5,4,5
176,70,31,71,77,32,38,73,54,63,43,65,61,68,66,63,77,54,68,81,74,81,52,59,73,59,68,75,68,66,59,12,11,10,7,11
183,78,25,61,62,64,67,66,65,56,60,30,54,63,57,40,79,69,77,63,78,68,80,64,45,30,43,39,32,45,41,11,9,10,9,13
189,85,26,17,12,11,10,25,55,5,9,26,30,14,27,27,14,26,50,40,25,28,60,15,45,7,6,12,11,12,8,63,60,61,60,60
180,76,18,57,54,21,12,24,53,53,17,47,49,35,44,29,55,48,60,60,60,54,62,59,58,63,49,44,29,50,42,12,6,5,10,12
185,84,25,63,44,77,80,84,60,48,76,56,65,24,67,52,69,76,90,66,77,66,70,67,44,22,36,32,25,28,27,15,7,11,9,14
182,76,24,67,68,58,49,58,63,64,36,65,61,64,66,63,81,73,60,70,79,77,64,59,59,60,54,56,53,50,49,14,8,15,14,9
188,81,34,33,28,13,12,29,60,14,25,50,49,20,26,42,37,28,57,56,51,58,65,24,42,12,12,25,24,15,15,62,62,60,56,63
178,69,30,68,67,58,58,62,59,58,58,65,69,59,68,66,52,66,69,74,65,69,64,54,66,47,56,52,45,52,42,14,10,11,15,15
185,80,31,70,56,82,87,88,85,38,84,42,71,40,74,61,80,77,76,57,76,76,73,83,53,38,41,45,49,56,44,15,16,15,13,10
182,70,28,52,49,53,54,60,50,39,52,48,50,41,55,49,43,78,61,63,63,68,62,56,45,26,26,32,30,39,25,5,14,6,15,11
173,69,27,75,66,33,55,80,79,79,26,69,70,61,74,59,77,78,67,81,66,76,59,73,79,77,71,63,55,78,75,8,11,12,7,14
176,71,20,73,67,70,71,69,70,55,70,65,66,55,77,74,73,78,65,77,72,79,69,53,58,37,41,61,43,46,43,6,6,13,14,7
182,74,25,59,62,33,31,34,49,51,16,52,47,54,53,51,68,49,55,63,67,59,40,40,52,44,42,41,36,50,47,9,10,15,6,13
187,82,20,76,72,61,62,73,54,59,58,58,60,51,73,73,68,66,67,65,66,62,69,60,71,46,70,68,51,49,41,9,10,15,13,10
183,79,25,68,62,78,77,81,72,46,72,56,68,56,70,65,72,69,83,66,90,65,80,73,53,35,55,43,33,44,40,14,7,6,12,11
174,70,32,92,89,75,76,80,82,75,82,87,88,78,90,88,69,75,60,90,55,90,86,54,75,68,73,85,77,75,82,9,6,11,7,13
184,79,22,59,58,62,63,59,56,41,57,52,54,56,64,60,55,58,68,64,63,61,56,57,59,47,44,45,40,46,38,9,8,8,9,7
176,73,20,57,63,24,25,31,45,51,16,46,45,48,56,49,74,55,59,77,69,75,48,40,59,51,34,40,38,56,40,6,6,14,10,14
187,86,35,60,55,59,62,74,60,53,61,56,63,46,64,61,44,73,82,55,38,52,68,63,60,47,52,48,54,47,36,13,14,6,6,10
182,74,18,56,54,55,57,54,56,49,57,47,56,57,56,50,68,64,59,61,68,64,59,49,44,39,35,46,49,55,30,10,6,13,11,13
184,76,24,61,60,35,35,65,60,64,44,60,63,51,55,42,81,68,63,63,80,77,76,55,64,61,55,49,50,60,55,13,11,15,13,7
185,79,28,58,45,66,71,81,65,48,71,56,67,37,67,65,59,70,86,65,39,51,79,73,70,34,58,42,39,42,40,13,15,7,13,12
190,77,29,78,64,74,77,71,74,59,75,69,69,52,79,77,51,78,76,43,50,64,80,75,73,59,69,58,52,57,46,12,13,14,7,16
182,75,26,24,25,14,11,23,60,16,17,44,32,13,28,27,58,30,47,45,57,63,68,12,49,15,19,20,23,25,8,63,67,61,65,68
182,84,31,59,51,66,66,67,73,50,76,64,78,38,66,56,72,66,81,60,67,71,87,68,61,44,46,55,40,49,52,9,7,7,7,12
183,72,23,65,61,61,61,59,64,58,65,66,64,61,68,68,67,82,70,72,68,69,55,56,69,53,64,62,65,63,55,14,7,11,11,9
183,75,17,56,51,23,22,36,56,60,18,51,57,42,53,40,58,46,60,61,53,50,62,61,54,68,61,42,36,72,44,12,8,10,8,7
188,72,25,64,62,18,14,26,63,63,19,48,51,28,58,43,71,63,65,61,68,59,69,62,60,65,54,48,32,62,54,11,8,10,5,8
193,76,24,19,11,12,10,27,52,5,14,36,32,10,22,20,21,19,63,25,17,27,36,13,42,5,8,11,10,13,9,54,58,57,56,60
167,64,23,74,76,31,36,39,66,59,27,63,66,66,64,48,84,60,55,88,73,82,40,27,52,59,49,49,36,47,45,8,7,9,7,11
176,70,28,73,73,65,66,71,66,66,68,74,71,69,72,61,82,77,58,84,65,89,78,55,66,60,60,73,62,59,58,7,13,12,6,13
184,80,22,76,76,25,33,44,65,69,27,69,58,55,70,59,73,71,72,71,83,70,55,59,74,70,69,66,47,48,60,6,11,6,14,6
172,69,29,50,53,27,30,74,46,50,30,47,49,50,50,46,83,70,61,78,82,79,84,44,58,53,51,47,45,48,55,8,13,10,12,12
185,82,29,68,66,33,41,63,58,66,32,62,62,59,61,57,80,75,76,70,77,71,57,55,64,66,62,57,42,55,58,14,7,12,12,11
180,65,22,58,62,59,62,55,58,61,56,54,51,59,52,49,63,73,59,71,68,60,59,38,54,35,33,46,32,33,28,12,12,12,9,7
167,66,30,72,76,23,28,27,67,64,50,67,74,63,71,67,89,74,53,89,87,91,68,43,69,64,66,73,63,69,69,12,9,11,10,10
178,82,23,63,65,16,13,41,56,59,18,48,55,40,54,39,90,69,70,83,91,84,63,53,57,63,51,49,45,58,48,6,7,6,12,7
185,77,30,83,84,80,84,84,82,70,81,85,87,74,85,85,63,80,84,50,75,67,83,68,86,66,78,69,70,49,56,9,11,13,9,7
168,64,26,64,65,27,28,56,62,60,45,64,62,59,66,65,70,64,53,84,75,73,71,40,54,54,56,64,60,45,48,11,11,7,10,5
189,83,22,56,55,66,61,59,60,29,51,54,41,52,69,61,57,48,81,46,53,50,58,57,54,38,32,42,46,49,40,14,13,14,7,9
180,67,23,64,61,32,30,38,61,56,19,57,52,58,62,53,73,57,53,71,74,67,46,34,52,46,43,49,41,53,47,6,11,13,11,11
188,77,26,58,52,12,15,58,60,62,20,51,52,34,57,43,56,73,76,47,64,54,69,67,63,65,53,52,35,60,60,9,6,15,13,7
195,88,32,54,50,62,67,74,62,34,64,47,60,30,57,56,42,73,87,57,50,39,52,67,44,29,32,26,39,45,23,13,10,10,6,13
183,78,26,67,65,65,64,63,62,59,54,63,62,64,61,55,72,75,68,63,80,66,56,58,66,41,58,61,60,60,51,14,12,11,9,15
161,59,29,80,85,33,47,69,72,77,44,73,77,64,74,71,87,76,40,92,73,88,54,53,71,62,70,72,62,54,67,12,13,9,6,10
180,77,28,64,63,24,26,63,61,63,30,54,62,45,56,41,76,68,68,62,78,68,70,60,66,64,61,48,42,59,49,15,7,7,7,13
187,86,36,65,61,23,31,75,66,68,44,53,69,53,60,53,51,60,82,51,52,50,76,67,75,65,63,51,61,65,65,11,11,8,15,7
177,70,19,55,56,33,37,60,61,49,33,48,47,44,56,51,64,42,47,72,66,61,48,40,50,50,48,45,39,45,43,9,8,14,8,14
190,84,24,11,5,10,13,27,60,5,17,49,42,23,30,28,38,25,60,50,30,47,60,11,48,6,5,12,12,19,9,56,69,62,64,59
180,82,26,56,53,62,62,60,56,48,56,48,49,52,54,45,76,68,72,63,74,58,74,61,58,46,48,50,42,38,40,9,15,8,14,6
184,83,20,64,67,58,60,65,58,58,58,60,63,60,62,48,76,75,74,64,78,68,68,52,55,47,49,58,45,43,44,13,6,13,8,6
195,80,27,51,33,69,67,62,63,28,63,29,48,23,49,32,54,69,83,41,40,47,75,73,33,20,26,26,27,37,24,9,5,8,9,7
194,90,24,17,12,10,13,23,52,7,10,38,32,11,26,24,22,27,56,56,33,38,55,10,46,6,8,14,13,15,10,59,62,62,61,63
179,76,22,16,6,15,15,26,45,6,7,29,36,13,27,28,26,22,42,47,28,35,61,16,47,7,8,13,15,17,9,55,58,61,62,59
173,74,35,74,75,74,73,80,74,74,73,68,60,77,73,68,79,78,75,64,80,76,76,57,60,45,55,71,41,52,42,10,10,12,12,13
173,66,28,81,74,65,74,76,75,68,67,82,79,90,85,84,66,91,64,76,54,75,65,57,81,70,79,93,94,77,51,15,12,12,10,15
188,85,23,52,41,67,73,63,62,23,67,41,60,44,61,71,64,55,86,43,58,63,77,76,62,52,54,45,43,61,31,8,13,10,7,10
180,65,20,74,76,65,63,64,64,59,62,63,72,62,68,64,74,73,59,76,69,77,59,47,57,41,47,37,38,42,39,6,12,14,7,6
166,59,24,57,57,49,54,49,52,50,54,52,51,48,57,53,63,50,48,70,62,57,56,45,43,45,35,46,44,47,30,14,11,8,10,11
166,70,26,76,79,35,34,41,66,66,39,71,72,70,71,62,87,71,65,84,82,87,87,48,72,66,73,72,66,57,59,16,16,12,8,15
183,80,27,56,39,65,73,70,62,27,65,42,59,32,63,57,69,59,80,66,65,49,83,75,43,34,21,32,31,38,21,12,11,11,11,11
173,68,24,60,61,56,58,60,60,55,53,57,60,60,56,53,79,71,62,75,70,73,59,47,48,49,47,49,48,48,40,6,7,5,9,8
182,70,21,47,45,54,55,50,55,41,52,39,45,50,48,39,67,58,69,54,59,55,71,49,37,30,30,48,39,40,31,14,9,6,10,6
187,81,20,13,6,10,11,22,65,9,9,34,35,21,24,22,25,26,59,35,32,36,48,20,44,9,6,8,13,15,20,57,62,60,58,70
191,82,27,24,14,16,18,27,76,14,25,60,60,15,32,27,53,40,67,58,56,49,81,14,56,13,19,18,20,23,20,81,80,76,74,79
186,80,34,82,83,68,75,67,85,85,73,78,88,86,79,79,77,83,76,72,78,74,87,80,84,78,78,79,75,76,81,9,6,7,10,6
185,75,18,54,48,14,18,33,48,57,11,49,45,29,48,31,57,55,56,57,53,58,62,55,48,60,51,35,30,62,45,10,8,8,11,6
181,72,24,54,55,15,19,28,52,62,19,42,46,31,48,32,68,62,73,65,65,64,64,65,62,61,58,36,42,63,57,13,12,7,5,7
175,71,27,53,56,49,48,67,58,59,46,51,51,58,50,48,91,79,74,80,90,83,77,54,65,63,59,53,52,54,49,9,15,14,11,10
176,73,21,52,51,54,56,47,51,52,48,40,39,59,52,43,69,50,39,79,68,73,52,39,36,37,38,45,30,38,32,5,11,12,12,14
